Column1,date,days_of_week,day,hour,text,Incident Type,Location
56,30/04/2019 0:06,Tuesday,30,0,Accident on Jurong Pier Road (towards Jurong Pier Circus) after Jurong Pier Circus,Accident,Jurong Pier Road (towards Jurong Pier Circus) after Jurong Pier Circus
57,30/04/2019 0:00,Tuesday,30,0,Accident on SLE (towards CTE) after Woodlands Ave 12 Exit with congestion till BKE Entrance. Avoid lane 3,Accident,SLE (towards CTE) after Woodlands Ave 12 Exit with congestion till BKE Entrance
58,29/04/2019 23:50,Monday,29,23,Accident on SLE (towards CTE) after Woodlands Ave 12 Exit. Avoid lane 3,Accident,SLE (towards CTE) after Woodlands Ave 12 Exit
59,29/04/2019 23:32,Monday,29,23,Accident on SLE (towards BKE) after Mandai Rd Exit with congestion till Lentor Ave Exit. Avoid lane 3,Accident,SLE (towards BKE) after Mandai Rd Exit with congestion till Lentor Ave Exit
60,29/04/2019 23:29,Monday,29,23,Accident on SLE (towards BKE) before Mandai Rd Exit,Accident,SLE (towards BKE) before Mandai Rd Exit
61,29/04/2019 22:59,Monday,29,22,Accident on SLE (towards BKE) after Mandai Rd Exit. Avoid lane 1,Accident,SLE (towards BKE) after Mandai Rd Exit
62,29/04/2019 22:37,Monday,29,22,Accident on SLE (towards BKE) after Mandai Rd Exit. Avoid lane 3,Accident,SLE (towards BKE) after Mandai Rd Exit
63,29/04/2019 22:01,Monday,29,22,Accident on SLE (towards BKE) after Mandai Rd Exit,Accident,SLE (towards BKE) after Mandai Rd Exit
64,29/04/2019 14:58,Monday,29,14,Accident on BKE (towards Woodlands) before Woodlands Checkpoint. Avoid lane 3,Accident,BKE (towards Woodlands) before Woodlands Checkpoint
65,29/04/2019 14:57,Monday,29,14,Accident on BKE (towards Woodlands) before Woodlands Checkpoint,Accident,BKE (towards Woodlands) before Woodlands Checkpoint
66,29/04/2019 14:46,Monday,29,14,Accident on BKE (towards Woodlands) before Woodlands Checkpoint. Avoid lane 2,Accident,BKE (towards Woodlands) before Woodlands Checkpoint
67,29/04/2019 13:42,Monday,29,13,Accident on Stamford Road (towards Fort Canning Link) after Victoria Street. Avoid right lane,Accident,Stamford Road (towards Fort Canning Link) after Victoria Street
68,29/04/2019 13:35,Monday,29,13,Accident on KJE (towards PIE) at Woodlands Rd Exit,Accident,KJE (towards PIE) at Woodlands Rd Exit
69,29/04/2019 12:06,Monday,29,12,Accident on PIE (towards Changi Airport) before Bedok North Rd,Accident,PIE (towards Changi Airport) before Bedok North Rd
70,29/04/2019 11:33,Monday,29,11,Heavy Traffic on CTE (towards SLE) after Jalan Bahagia Exit,Heavy Traffic,on CTE (towards SLE) after Jalan Bahagia Exit
71,29/04/2019 11:28,Monday,29,11,Accident on AYE (towards Tuas) before Clementi Rd Exit,Accident,AYE (towards Tuas) before Clementi Rd Exit
72,29/04/2019 11:27,Monday,29,11,Accident on AYE (towards Tuas) before Clementi Rd Exit. Avoid lane 4,Accident,AYE (towards Tuas) before Clementi Rd Exit
73,29/04/2019 11:13,Monday,29,11,Accident on CTE (towards SLE) after Jalan Bahagia Exit with congestion till Bukit Timah Rd Entrance. Avoid lane 1,Accident,CTE (towards SLE) after Jalan Bahagia Exit with congestion till Bukit Timah Rd Entrance
74,29/04/2019 11:10,Monday,29,11,Accident on CTE (towards SLE) after Jalan Bahagia Exit. Avoid lane 1,Accident,CTE (towards SLE) after Jalan Bahagia Exit
75,29/04/2019 9:24,Monday,29,9,Obstacle on BKE (towards PIE) at PIE(Tuas) Exit,Obstacle,BKE (towards PIE) at PIE(Tuas) Exit
76,29/04/2019 8:41,Monday,29,8,Accident on BKE (towards PIE) at Mandai Rd Entrance,Accident,BKE (towards PIE) at Mandai Rd Entrance
77,29/04/2019 8:20,Monday,29,8,"Temporary Closure of Slip Road from PIE (Tuas) Exit 27 to Clementi Avenue 6 on Friday, 3 May 2019 and Saturday, 4 May 2019 from 1.00 a.m to 5.00 a.m daily. #sgtraffic http://bit.ly/2UOjh7U",Temporary Road Closure Closure,"of Slip Road from PIE (Tuas) Exit 27 to Clementi Avenue 6 on Friday, 3 May 2019 and Saturday, 4 May 2019 from 1"
78,29/04/2019 8:19,Monday,29,8,"Temporary Closure of Slip Roads at KPE Tunnel on 2 - 4, 6 - 10, 14 - 18, 21 - 24, 27 & 31 May 2019 from midnight to 5.00 a.m. #sgtraffic http://bit.ly/2PFJgh6",Temporary Road Closure Closure,"of Slip Roads at KPE Tunnel on 2 - 4, 6 - 10, 14 - 18, 21 - 24, 27 & 31 May 2019 from midnight to 5"
79,29/04/2019 8:17,Monday,29,8,"Temporary Closure of Slip Roads at MCE Tunnel on 3, 7, 11, 16 -17, 23 & 28 - 29 May 2019 from midnight to 5.00 a.m. #sgtraffic http://bit.ly/2V3hnW7",Temporary Road Closure Closure,"of Slip Roads at MCE Tunnel on 3, 7, 11, 16 -17, 23 & 28 - 29 May 2019 from midnight to 5"
80,29/04/2019 8:10,Monday,29,8,Accident on PIE (towards Changi Airport) after Kallang,Accident,PIE (towards Changi Airport) after Kallang
81,29/04/2019 8:05,Monday,29,8,Accident on PIE (towards Changi Airport) after Kallang Way. Avoid lane 2,Accident,PIE (towards Changi Airport) after Kallang Way
82,29/04/2019 8:03,Monday,29,8,Accident on PIE (towards Changi Airport) after Kallang. Avoid lane 4,Accident,PIE (towards Changi Airport) after Kallang
83,29/04/2019 7:53,Monday,29,7,Accident on PIE (towards Changi Airport) after Kallang Way. Avoid lane 4,Accident,PIE (towards Changi Airport) after Kallang Way
84,29/04/2019 7:41,Monday,29,7,Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 1,Accident,PIE (towards Tuas) before KPE Exit
85,29/04/2019 7:31,Monday,29,7,Accident on PIE (towards Tuas) after KPE Exit,Accident,PIE (towards Tuas) after KPE Exit
86,29/04/2019 7:09,Monday,29,7,Accident on PIE (towards Tuas) after Toh Guan Rd Exit. Avoid lane 3,Accident,PIE (towards Tuas) after Toh Guan Rd Exit
87,29/04/2019 2:54,Monday,29,2,Accident on SLE (towards BKE) at BKE(PIE) Exit,Accident,SLE (towards BKE) at BKE(PIE) Exit
88,29/04/2019 1:41,Monday,29,1,Accident on MCE (towards AYE) at MCE(AYE) Entrance,Accident,MCE (towards AYE) at MCE(AYE) Entrance
89,29/04/2019 1:28,Monday,29,1,Accident on CTE (towards AYE) after AMK Ave 5 Exit,Accident,CTE (towards AYE) after AMK Ave 5 Exit
90,29/04/2019 1:24,Monday,29,1,Accident on CTE (towards AYE) after AMK Ave 5 Exit. Avoid lane 2,Accident,CTE (towards AYE) after AMK Ave 5 Exit
91,29/04/2019 1:11,Monday,29,1,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 3,Accident,ECP (towards Changi Airport) after Still Rd Sth Exit
92,29/04/2019 1:06,Monday,29,1,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit,Accident,ECP (towards Changi Airport) after Still Rd Sth Exit
93,29/04/2019 0:57,Monday,29,0,Obstacle on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lanes 2 and 3,Obstacle,AYE (towards Tuas ) after Clementi Ave 6 Exit
94,29/04/2019 0:51,Monday,29,0,Accident on ECP (towards Changi Airport) after Bedok Exit with congestion till Still Rd Sth Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) after Bedok Exit with congestion till Still Rd Sth Exit
95,29/04/2019 0:48,Monday,29,0,Accident on ECP (towards Changi Airport) after Bedok Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) after Bedok Exit
96,29/04/2019 0:28,Monday,29,0,Accident on KPE (towards TPE) at Tampines Road Entrance,Accident,KPE (towards TPE) at Tampines Road Entrance
97,29/04/2019 0:18,Monday,29,0,Accident on Petir Road near Pending Road/Petir Road Junction,Accident,Petir Road near Pending Road/Petir Road Junction
98,29/04/2019 0:03,Monday,29,0,Heavy Traffic on SLE (towards CTE) after Mandai Ave Exit,Heavy Traffic,on SLE (towards CTE) after Mandai Ave Exit
99,28/04/2019 23:59,Sunday,28,23,Accident on TPE (towards PIE) at Loyang Ave Exit,Accident,TPE (towards PIE) at Loyang Ave Exit
100,28/04/2019 23:52,Sunday,28,23,Accident on SLE (towards CTE) after Mandai Ave Exit with congestion till BKE Entrance. Avoid lane 2,Accident,SLE (towards CTE) after Mandai Ave Exit with congestion till BKE Entrance
101,28/04/2019 23:43,Sunday,28,23,Accident on SLE (towards CTE) before Upper Thomson Rd Exit with congestion till BKE Entrance. Avoid lane 2,Accident,SLE (towards CTE) before Upper Thomson Rd Exit with congestion till BKE Entrance
102,28/04/2019 23:26,Sunday,28,23,Heavy Traffic on SLE (towards BKE) before BKE Exit,Heavy Traffic,on SLE (towards BKE) before BKE Exit
103,28/04/2019 23:20,Sunday,28,23,Accident on SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Woodlands Ave 12 Exit. Avoid lane 2,Accident,SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Woodlands Ave 12 Exit
104,28/04/2019 23:12,Sunday,28,23,Accident on SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Mandai Ave Exit. Avoid lane 2,Accident,SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Mandai Ave Exit
105,28/04/2019 23:10,Sunday,28,23,Accident on SLE (towards CTE) before Upper Thomson Rd Exit. Avoid lane 2,Accident,SLE (towards CTE) before Upper Thomson Rd Exit
106,28/04/2019 23:05,Sunday,28,23,Accident on SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 12 Exit,Accident,SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 12 Exit
107,28/04/2019 22:52,Sunday,28,22,Accident on SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 12 Exit. Avoid lane 1,Accident,SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 12 Exit
108,28/04/2019 22:40,Sunday,28,22,Accident on SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 2 Exit. Avoid lane 1,Accident,SLE (towards BKE) before BKE Exit with congestion till Woodlands Ave 2 Exit
109,28/04/2019 22:34,Sunday,28,22,Accident on SLE (towards BKE) before BKE Exit. Avoid lane 1,Accident,SLE (towards BKE) before BKE Exit
110,28/04/2019 22:32,Sunday,28,22,Accident on SLE (towards CTE) after BKE Entrance. Avoid lane 1,Accident,SLE (towards CTE) after BKE Entrance
111,28/04/2019 20:06,Sunday,28,20,Accident on SLE (towards CTE) at Mandai Ave Exit. Mandai Ave Exit closed,Accident,SLE (towards CTE) at Mandai Ave Exit
112,28/04/2019 19:35,Sunday,28,19,Accident on SLE (towards CTE) at Mandai Ave Exit,Accident,SLE (towards CTE) at Mandai Ave Exit
113,28/04/2019 15:55,Sunday,28,15,Accident on MCE (towards ECP) after Central Blvd Exit. Avoid lane 5,Accident,MCE (towards ECP) after Central Blvd Exit
114,28/04/2019 13:39,Sunday,28,13,Accident on CTE (towards SLE) after AMK Ave 5 Exit,Accident,CTE (towards SLE) after AMK Ave 5 Exit
115,28/04/2019 13:37,Sunday,28,13,Accident on Sims Avenue (toward Changi) after Lavender Street. Avoid right lane,Accident,Sims Avenue (toward Changi) after Lavender Street
116,28/04/2019 8:56,Sunday,28,8,Obstacle on TPE (towards SLE) before Tampines Rd Exit. Avoid lane 2,Obstacle,TPE (towards SLE) before Tampines Rd Exit
117,28/04/2019 8:13,Sunday,28,8,Accident on SLE (towards CTE) after Mandai Ave Exit with congestion till Mandai Ave Exit. Avoid lane 3,Accident,SLE (towards CTE) after Mandai Ave Exit with congestion till Mandai Ave Exit
118,28/04/2019 8:05,Sunday,28,8,Accident on KPE (towards ECP) at Airport Road Exit,Accident,KPE (towards ECP) at Airport Road Exit
119,28/04/2019 7:59,Sunday,28,7,Accident on SLE (towards CTE) after Mandai Ave Exit with congestion till Mandai Ave Exit. Avoid lanes 1 and 3,Accident,SLE (towards CTE) after Mandai Ave Exit with congestion till Mandai Ave Exit
120,28/04/2019 7:54,Sunday,28,7,Accident on SLE (towards CTE) after Mandai Ave Exit. Avoid lanes 1 and 3,Accident,SLE (towards CTE) after Mandai Ave Exit
121,28/04/2019 7:51,Sunday,28,7,Accident on SLE (towards CTE) after Mandai Ave Exit. Avoid lane 3,Accident,SLE (towards CTE) after Mandai Ave Exit
122,28/04/2019 7:23,Sunday,28,7,Accident on AYE (towards Tuas ) at West Coast Way Entrance. West Coast Way Entrance closed,Accident,AYE (towards Tuas ) at West Coast Way Entrance
123,28/04/2019 7:18,Sunday,28,7,Accident on ECP (towards City) at PIE Exit,Accident,ECP (towards City) at PIE Exit
124,28/04/2019 7:14,Sunday,28,7,Accident on AYE (towards Tuas ) at West Coast Way Entrance,Accident,AYE (towards Tuas ) at West Coast Way Entrance
125,28/04/2019 5:58,Sunday,28,5,Accident on SLE (towards BKE) before Mandai Rd Exit with congestion till Upper Thomson Rd Exit. Avoid lane 3,Accident,SLE (towards BKE) before Mandai Rd Exit with congestion till Upper Thomson Rd Exit
126,28/04/2019 5:41,Sunday,28,5,Accident on SLE (towards BKE) before Mandai Rd Exit. Avoid lane 3,Accident,SLE (towards BKE) before Mandai Rd Exit
127,28/04/2019 5:32,Sunday,28,5,Accident on BKE (towards Woodlands) after Woodlands Ave 3 Exit,Accident,BKE (towards Woodlands) after Woodlands Ave 3 Exit
128,28/04/2019 5:12,Sunday,28,5,Accident on BKE (towards Woodlands) after Woodlands Ave 3 Exit. Avoid lane 1,Accident,BKE (towards Woodlands) after Woodlands Ave 3 Exit
129,28/04/2019 4:51,Sunday,28,4,Accident in CTE Tunnel (towards AYE) before Bukit Timah Rd Exit,Accident,CTE Tunnel (towards AYE) before Bukit Timah Rd Exit
130,28/04/2019 3:33,Sunday,28,3,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit. Avoid lane 2,Accident,ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit
131,28/04/2019 3:26,Sunday,28,3,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit. Avoid lanes 1 and 2,Accident,ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit
132,28/04/2019 3:18,Sunday,28,3,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Tg Katong Rd Exit
133,28/04/2019 3:15,Sunday,28,3,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit. Avoid lane 1,Accident,ECP (towards Changi Airport) before Still Rd Sth Exit
134,27/04/2019 23:01,Saturday,27,23,Obstacle on Sentosa Gateway (towards Sentosa Gateway Tunnel) after Telok Blangah Road. Avoid left lane,Obstacle,Sentosa Gateway (towards Sentosa Gateway Tunnel) after Telok Blangah Road
135,27/04/2019 22:41,Saturday,27,22,Accident on SLE (towards BKE) at Turf Club Exit,Accident,SLE (towards BKE) at Turf Club Exit
136,27/04/2019 22:21,Saturday,27,22,Accident on AYE (towards MCE) before CTE Exit. Avoid lane 3,Accident,AYE (towards MCE) before CTE Exit
137,27/04/2019 22:21,Saturday,27,22,Accident on AYE (towards MCE) before CTE Exit,Accident,AYE (towards MCE) before CTE Exit
138,27/04/2019 21:21,Saturday,27,21,Accident on AYE (towards MCE) before CTE Exit. Avoid lanes 1 and 3,Accident,AYE (towards MCE) before CTE Exit
139,27/04/2019 20:56,Saturday,27,20,Accident on SLE (towards CTE) after BKE Entrance. Avoid lane 3,Accident,SLE (towards CTE) after BKE Entrance
140,27/04/2019 20:48,Saturday,27,20,Accident on PIE (towards Changi Airport) before Simei Ave. Avoid lane 3,Accident,PIE (towards Changi Airport) before Simei Ave
141,27/04/2019 20:45,Saturday,27,20,Accident on SLE (towards CTE) after BKE Entrance,Accident,SLE (towards CTE) after BKE Entrance
142,27/04/2019 20:28,Saturday,27,20,Accident on PIE (towards Changi Airport) before Simei Ave. Avoid lanes 2 and 3,Accident,PIE (towards Changi Airport) before Simei Ave
143,27/04/2019 20:12,Saturday,27,20,Accident on PIE (towards Changi Airport) before Simei Ave. Avoid lane 2,Accident,PIE (towards Changi Airport) before Simei Ave
144,27/04/2019 20:06,Saturday,27,20,Accident on KPE (towards TPE) before TPE(SLE) Exit. Avoid lane 3,Accident,KPE (towards TPE) before TPE(SLE) Exit
145,27/04/2019 16:26,Saturday,27,16,"Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lanes 2, 3 and 4",Accident,ECP (towards City) before PIE(Tuas) Exit
146,27/04/2019 15:51,Saturday,27,15,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lanes 2 and 3,Accident,ECP (towards City) before PIE(Tuas) Exit
147,27/04/2019 14:19,Saturday,27,14,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 3,Accident,CTE (towards SLE) after Moulmein Rd Exit
148,27/04/2019 12:39,Saturday,27,12,Accident on Orchard Road (towards Penang Road) after Bencoolen Street. Avoid right lane,Accident,Orchard Road (towards Penang Road) after Bencoolen Street
149,27/04/2019 12:01,Saturday,27,12,Accident on PIE (towards Changi Airport) at KPE(ECP) Exit,Accident,PIE (towards Changi Airport) at KPE(ECP) Exit
